uri,title,popularity,base_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,n_artists,n_genres,followers_0,followers_1,followers_2,followers_3,followers_4,followers_5,followers_6
6RiprjTTheMrJ2ypJxz3H4,Riccione,62,60,0.594,0.905,7,-4.921,0,0.0851,0.0127,0,0.0514,0.559,109.928,196861,4,1,1,0,0,0,0,1049010,0,0
6RrHjDbTT8ibYqSBsZbmRA,"Rolls Royce (feat. Boss Doms, Frenetik&Orang3)",53,59.33333333,0.643,0.922,9,-3.907,1,0.0641,0.00582,0,0.643,0.308,141.913,173345,4,3,2,14759,0,751346,0,0,0,0
6RsrX9xycrhSPv34LTG5NC,"The Nutcracker, Op. 71, TH.14 / Act 2: No. 14c Pas de deux: Variation II (Dance Of The Sugar-Plum Fairy)",3,65.33333333,0.31,0.00604,2,-38.293,1,0.036,0.966,0.684,0.179,0.179,118.942,136147,4,3,1,1080736,0,0,0,0,0,0
6RtPijgfPKROxEzTHNRiDp,Rude,82,70,0.773,0.758,1,-4.993,1,0.0381,0.0422,0,0.305,0.925,144.033,224840,4,1,1,0,0,0,0,0,1246935,0
6S7o12almFeL57rbRvdY5l,Vas,80,65,0.514,0.424,0,-10.645,1,0.0282,0.918,0.849,0.126,0.416,71.114,90324,4,1,1,0,0,0,0,0,51549,0
6SGFXZBdnTyNlnXCuUvlnf,Morto Dentro,40,73,0.739,0.799,11,-3.965,0,0.0563,0.14,1.10E-06,0.103,0.368,95.018,194526,4,1,1,0,0,629141,0,0,0,0
6SRvdgAhYkPso4J09N23fC,Meglio di sera (feat. Álvaro De Luna & Astol),63,58.66666667,0.802,0.848,0,-4.413,0,0.0501,0.0233,0,0.0458,0.877,130.021,176538,4,3,2,0,0,0,0,228191,37450,0
6STPkwHRNfyh54eGzliwz6,Il Doc (feat. Papa V),50,58,0.79,0.631,1,-8.584,1,0.348,0.00248,0,0.334,0.515,103.055,124660,4,4,2,831,0,218991,0,0,0,0
6STWEn9R1a89R2KBQ3qPtS,Untouchable,54,56,0.845,0.311,1,-15.547,1,0.455,0.118,0,0.0813,0.425,147.968,131351,4,4,2,323,0,285461,0,0,0,0
6SUnPCMXpUvJ7ZiSFRg8rs,Broken Language,51,67.5,0.72,0.927,4,-3.197,0,0.309,0.333,0,0.121,0.668,89.993,108973,4,2,1,0,0,1374030,0,0,0,0
6SpPr7K4YQ2wp8jU6uOTmQ,Queendom,77,76,0.695,0.896,5,-1.24,1,0.0847,0.179,0,0.0626,0.508,119.959,181760,4,1,1,6322135,0,0,0,0,0,0
6TEPwGCSq4XGWu3hnZkC5m,Nena (feat. Geolier & Andry The Hitmaker),56,65.33333333,0.78,0.771,6,-4.99,0,0.0538,0.0469,0,0.1,0.355,102.952,149126,4,3,1,0,0,681426,0,0,0,0
6TUPh02OmEXDeCZMft4cDx,Te voglio troppo bene,49,52,0.612,0.674,7,-10.236,0,0.0761,0.334,0,0.284,0.638,137.181,238467,4,1,1,74653,0,0,0,0,0,0
6TZiPLabNvmeGXSVdTIfPb,Definitivamente,4,89,0.812,0.764,8,-3.39,0,0.101,0.59,0,0.253,0.431,100.082,217773,4,2,1,0,0,0,0,0,0,25346918
6TkKGxBKjhij10LjAARhSU,"Berlusconi (feat. Jake La Furia, Nitro & Speranza)",50,61.75,0.811,0.823,5,-3.605,1,0.158,0.188,0,0.0987,0.592,120.03,160867,4,4,1,0,0,602710,0,0,0,0
6TsBYxKlER3Lf9AU2YDpWd,Jingle Bells (feat. The Puppini Sisters),74,82.5,0.706,0.577,5,-6.478,1,0.0549,0.687,0,0.143,0.833,123.014,161805,3,2,1,0,4944547,0,0,0,0,0
6TucNocuQ2X81JgozfBhpG,"The Nutcracker (Suite), Op. 71a, TH. 35: III. Waltz of the Flowers",1,70.33333333,0.239,0.15,2,-18.501,1,0.0358,0.971,0.891,0.063,0.0936,95.289,406000,4,3,1,1080736,0,0,0,0,0,0
6U03Orwr5Dxt8jahLnQpYV,"Mas, Que Nada!",61,67,0.512,0.511,2,-8.645,0,0.03,0.662,0.000199,0.209,0.589,89.499,179293,4,1,1,0,0,0,0,0,683424,0
6U5TPU2eZMqD6vQ0dd9Wyi,Belva,51,70,0.664,0.7,8,-6.822,0,0.0996,0.116,2.15E-05,0.123,0.475,160.039,175914,4,1,1,0,0,0,0,572724,0,0
