"uri","title","popularity","base_popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","n_artists","n_genres","followers"
"08CLDBSQitOfSOMJXDUEHr","Movimento lento (feat. Federico Rossi)",5.60281937190134,60.5,0.731,0.92,6,-3.724,1,0.0435,0.105,1.4e-06,0.0956,0.871,100,193200,4,2,2,844579
"08Enc1cpTGEiWPhqHDW6SU","RAGAZZI DELLA NEBBIA ♅ (con FSK SATELLITE & IRAMA)",2.77568389325028,63.66666667,0.645,0.66,2,-4.677,1,0.114,0.201,0,0.0644,0.473,144.998,190825,4,3,2,1619505
"08F16baYbciTva9P4BvpiI","MAFIA",1.88204249108459,93,0.855,0.492,0,-7.578,0,0.0483,0.0775,6.71e-06,0.111,0.385,109.975,240000,4,1,1,19394352
"08LwMWf5Tcfsd752EPzFV0","i n t e r l u d e",2.77812419783076,90,0.77,0.574,1,-5.525,1,0.106,0.0617,0,0.104,0.104,98.962,133022,3,1,1,15414928
"08Qlq6ztzz94CmMyCBzt4d","ALL IN (feat. Luchitos & Rayan)",2.00831438587108,52.75,0.862,0.65,1,-7.879,1,0.165,0.15,0,0.094,0.516,125.038,135950,4,4,3,35213
"08SB2OtZkaliju77WYEKxk","No Love (with SZA)",4.04448952799048,87,0.707,0.618,1,-5.825,0,0.19,0.17,0,0.293,0.517,133.876,231498,4,2,1,6878745
"08XshFxOo9rcQagObgcoK6","Blockbuster feat. YEONJUN of TOMORROW X TOGETHER",1.02118487765019,66.5,0.495,0.926,8,-4.589,0,0.323,0.0384,0,0.348,0.642,159.922,227454,4,2,1,2619975
"08aYFNUTIOMGq93e2VSArQ","Que Le De",1.61787065213807,90.5,0.77,0.75,0,-2.715,1,0.0785,0.19,0,0.0618,0.609,99.997,225600,4,2,2,15901619
"08mG3Y1vljYA6bvDt4Wqkj","Back In Black",2.67018522904948,85,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,4,1,1,21816157
"08yMOmydumplen59qUD4zf","L",2.58471507367584,50.5,0.733,0.617,5,-5.836,0,0.186,0.152,7.15e-06,0.0783,0.452,94.999,216480,4,2,2,42438
"0939D7aT18uBDS2MTjWzct","Higher Power",2.5859943148947,93,0.507,0.828,10,-6.023,1,0.0449,0.00711,2.44e-05,0.261,0.489,178.032,211295,4,1,1,33384131
"097r4GZ0AqCs7zrp6dkw6K","Air Force Bianca",2.93831327341095,60,0.755,0.638,9,-7.66,0,0.254,0.00128,0.0124,0.128,0.448,159.993,219000,4,2,2,35320
"09CtPGIpYB4BrO8qb1RGsF","Sorry",2.73807597213946,98,0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,200787,4,1,1,54848934
"09FMFnWC5RYkvvvsjOus9B","COSPLAYER",2.69595135424587,82,0.546,0.796,1,-5.751,1,0.357,0.423,0,0.114,0.528,159.392,221884,4,1,1,1518528
"09IStsImFySgyp0pIQdqAc","The Middle",3.98892673864567,76.33333333,0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,184732,4,3,2,5644971
"09OojFvtrM9YRzRjnXqJjA","Rockin' Around the Christmas Tree",5.97298373638083,83,0.682,0.641,8,-8.915,1,0.0386,0.568,0,0.224,0.826,141.002,126146,4,1,1,245897
