artist,popularity,base_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,n_artists,n_genres
3liWfHRnSkAv6oHHuF1i74,56.14285714,58.73809524,0.729428571,0.719428571,5,-5.751714286,0.571428571,0.087928571,0.249071429,0,0.118314286,0.471,120.3955714,181634.5714,4,2.428571429,2
3loHXOWr2BqPeLzuZPhCyk,66,52,0,0.0000201,5,-15.776,1,0,0,0,0,0,0,73887,0,3,1
3LpLGlgRS1IKPPwElnpW35,71,70.5,0.5645,0.7025,4,-5.705,1,0.0715,0.112835,0,0.0844,0.4495,95.8315,231813,4,1.5,1.5
3luonLzvSOxdU8ytCaEIK8,70,70,0.597,0.529,0,-9.207,1,0.0865,0.396,0,0.372,0.146,134.825,184000,4,2,2
3LvwPiJQJ0da0GurKMToV0,59.42307692,67.01923077,0.708346154,0.598230769,5.615384615,-8.784653846,0.576923077,0.210842308,0.189644615,0,0.168584615,0.513730769,112.309,179164.9615,3.884615385,2.192307692,1.653846154
3lxINiPO2Mtk6VqtUSd5t1,57.25,58,0.67675,0.52125,6,-8.45225,0.25,0.17515,0.45475,0,0.22405,0.31655,133.6815,141098.5,4,1,1
3lxodSyaJZ3UY7m87Wn40I,40,35.25,0.771,0.791,11,-3.355,0,0.0611,0.0585,0,0.103,0.594,124.96,170037,4,4,1
3lY9Fxceu60W1rbon7PkuF,61.5,68.5,0.666,0.716,5,-4.911,0.5,0.0681,0.2535,1,0.1575,0.589,99.454,203922.5,4,2,1.5
3M9EMaTryR42e52Pz2HiV2,53,50,0.756,0.624,0,-8.519,0,0.0655,0.0222,0,0.127,0.799,100.043,169200,4,2,2
3M9XAM57a4qFz3v6Lq27t2,43,48.5,0.579,0.945,9,-3.933,1,0.0444,0.00637,0,0.169,0.415,112.03,161000,4,2,2
3MBBCjjwCjbeikYXPswyZc,68,63.83333333,0.747,0.34,2,-11.05,0,0.451,0.864,0,0.103,0.752,91.928,112199,4,6,2
3MbrazQE12UdSdFunXcft1,64,59,0.617,0.463,11,-7.978,0,0.0402,0.0186,0,0.187,0.24,83.931,160444,4,1,1
3Mcii5XWf6E0lrY3Uky4cA,80.5,77,0.7725,0.632,8.5,-7.9255,0,0.08585,0.21385,1,0.217,0.6975,87.6125,246386.5,4,1,1
3mGNF0avcgm8aDyN2GexLC,36,32,0.62,0.658,10,-7.784,1,0.0733,0.237,0,0.0922,0.512,129.919,149326,4,2,1
3MHaV05u0io8fQbZ2XPtlC,74,85.5,0.565,0.781,10,-3.358,0,0.061,0.364,0,0.0984,0.943,129.959,192698,4,2,2
3MJkjA2JwoLaRsEqooYtPu,26,38,0.472,0.992,6,-6.678,1,0.0884,0.0000147,1,0.348,0.379,133.993,71640,4,5,1
3MkkSf3u5KU52Mb2iMrqeX,56.58823529,69.66399287,0.776558824,0.6835,5.647058824,-6.850441176,0.470588235,0.201382353,0.151075294,0,0.203620588,0.473382353,120.1398824,173753.2941,3.970588235,2.382352941,1.235294118
3MkXTqMdLdWScN4cUOCLr4,52,48.5,0.5065,0.684,6,-5.444,0.5,0.0491,0.053195,0,0.11595,0.2625,159.908,202393.5,4,2,2
3mLdH6xxrscTf2poCN9Kzy,66,62.5,0.767,0.561,2,-7.418,0,0.0509,0.118,0,0.0737,0.542,90.021,192229,4,4,2
3Mvc8kRgr8LRYYgvFmlZqn,35,60,0.5825,0.83,7.5,-5.2235,0,0.0421,0.01494745,1,0.09945,0.46,110.4885,236857.5,4,1,1
3myBAct8TXXSqKbl1kIsr8,1,0,0.864,0.463,5,-12.441,0,0.217,0.0986,1,0.161,0.244,125.009,396003,4,1,1
3MYT2UTOP4RHngspyochga,56,48.5,0.65,0.37,9,-8.841,1,0.0532,0.187,0,0.203,0.38,76.996,195097,4,4,3
3MZsBdqDrRTJihTHQrO6Dq,86,84,0.515,0.479,3,-7.458,1,0.0261,0.544,1,0.191,0.284,88.964,209274,4,1,1
3nDLTOGw0WwwddP3tq5561,61,64.5,0.864,0.626,6,-5.99,0,0.207,0.126,0,0.0911,0.608,127.934,202413,4,2,2
3nEuPriyu2pK0aTVNshuD3,0,43,0.581,0.675,4,-3.911,0,0.0466,0.199,0,0.185,0.613,75.8,166154,5,2,2
3nFkdlSjzX9mRTtwJOzDYB,75.23076923,87.67948718,0.629307692,0.771615385,5.076923077,-5.160923077,0.538461538,0.230769231,0.166231538,0,0.258061538,0.594076923,128.2585385,256451.8462,4,2.153846154,2
3nlHsNqwCSvT988ZfSW1Yh,77,69,0.461,0.448,7,-10.665,1,0.0246,0.161,0,0.0811,0.418,173.86,256827,4,1,1
3nnQpaTvKb5jCQabZefACI,74,65,0.324,0.136,0,-10.33,1,0.0318,0.931,1,0.176,0.0831,97.256,413827,3,1,1
3NPpFNZtSTHheNBaWC82rB,68.875,79.10416667,0.521125,0.772375,5.125,-5.210875,0.5,0.182325,0.11706625,0,0.2815625,0.46995,121.137125,226760,3.875,3.125,2
3Nrfpe0tUJi4K4DXYWgMUX,83.4,93.26666667,0.581,0.7664,6.4,-6.0088,0.6,0.0572,0.066544,0,0.21194,0.4364,112.592,222992.4,4,2.2,1.6
3nRifdQMP5925XSkIN07oC,58,51,0.881,0.738,5,-9.124,0,0.0406,0.189,1,0.0602,0.958,121.956,451427,4,1,1
3NsSv8HchEwfa7bGkjb4ZC,30,35,0.524,0.394,6,-10.802,1,0.0584,0.912,1,0.096,0.918,67.059,73763,4,1,1
3nW7Xw52V74rD3XkfTKC56,50,45.66666667,0.752,0.681,8,-6.106,1,0.218,0.084,0,0.112,0.378,149.992,185600,4,3,2
3nYYI90ObxhjLjdxaoXGSa,80,67,0.459,0.304,2,-10.107,1,0.136,0.967,0,0.0951,0.072,76.954,149803,3,1,1
3nZ3ed6p4CKc1McTLypr6H,69,61,0.139,0.22,2,-19.974,0,0.0324,0.856,1,0.17,0.0789,71.432,480107,5,1,1
3nZa8vRD64ueq3d0JNYTsl,48,55,0.499,0.479,1,-6.413,1,0.0264,0.161,0,0.0608,0.132,75.298,252680,4,1,1
3o1cwVQfiDWafhYA02k13C,58.22222222,65.50462963,0.578666667,0.699055556,5.333333333,-6.076277778,0.555555556,0.187844444,0.253396667,0,0.216772222,0.406722222,123.2034444,203767.8889,3.944444444,3.333333333,2.166666667
3o7aFoRens3q0PemGHwM6X,51,45.5,0.613,0.705,5,-5.945,0,0.259,0.224,0,0.112,0.535,101.039,156841,4,2,2
3o7fC2O4nraaicpID6bBZW,57.8,61.26666667,0.7584,0.7372,10.2,-6.0348,0.4,0.12534,0.06488,0,0.31788,0.7248,113.9872,193556.8,4,1.8,1.2
3O8vY6PrSXXKRjrp48MI3J,43,35,0.878,0.385,6,-12.789,0,0.0889,0.000084,1,0.123,0.698,125.001,124134,4,1,1
3Oa4tuMAAQjZpQPHTcTEDp,15,24,0.819,0.315,6,-12.101,1,0.292,0.154,1,0.0739,0.689,170.003,168000,4,1,1
3oDbviiivRWhXwIE8hxkVV,86,79,0.602,0.553,11,-9.336,1,0.0328,0.108,0,0.0512,0.971,130.594,118840,4,1,1
3OexsqL65OHjNt8oeFn0fN,69,54,0.52,0.907,1,-3.614,1,0.3,0.00373,0,0.0906,0.219,132.046,141171,4,1,1
3Oim8XBPbznAa8Jj8QzNc8,86,78,0.766,0.74,1,-10.363,1,0.0807,0.0193,1,0.229,0.183,118.008,296520,4,3,2
3OKg7YbOIatODzkRIbLJR4,61,71,0.544,0.608,10,-8.073,0,0.0287,0.0313,1,0.0925,0.088,145.049,233379,4,1,1
3OMd4I5GX8Hz51SLS0C2Fm,75,60,0.642,0.777,4,-4.809,0,0.094,0.00323,0,0.227,0.413,96.986,214400,4,3,1
3ooeOAsZUBeK0cHNpIclu2,72,58.66666667,0.777,0.522,10,-6.668,0,0.0624,0.0743,0,0.129,0.935,120.582,209266,4,3,1
3OqTvcWgb0xaainosGVvuZ,75,62,0.704,0.861,2,-4.221,0,0.0493,0.587,1,0.0992,0.636,128.99,213394,4,1,1
3otPBasnCgqE7urQZ92ccV,59,43.2,0.713,0.604,0,-6.976,0,0.373,0.524,0,0.113,0.78,81.958,225431,4,5,1
3oZa8Xs6IjlIUGLAhVyK4G,77,66,0.572,0.654,7,-7.027,0,0.0344,0.0058,0,0.09,0.399,122.491,237053,4,1,1
3P1MvvSSTQsa0Oh5fmxsEy,29,31,0.528,0.799,2,-12.642,1,0.0431,0.00173,1,0.0802,0.224,89.961,193333,3,1,1
3paGCCtX1Xr4Gx53mSeZuQ,70,75,0.754,0.781,10,-3.433,0,0.114,0.0299,0,0.101,0.734,140.99,229000,4,1,1
3PbxfXGwcCLn85zVQK1ulo,57.5,66.42708333,0.54225,0.705875,3.75,-5.7465,0.875,0.1987125,0.21593625,0,0.2296125,0.292375,137.038625,196922.875,3.875,3.375,2
3PEzbnNp2kOuNcL0Z19o0w,56,47,0.622,0.493,1,-10.827,0,0.0466,0.408,0,0.149,0.124,130.137,197539,4,1,1
3pFCERyEiP5xeN2EsPXhjI,65,69,0.751,0.674,9,-12.976,0,0.0425,0.0214,1,0.32,0.696,117.969,304293,4,1,1
